species	temperature_min	temperature_max	climate	environment	depth_min	depth_max	metabolism_data	speed_data	gill_area_data
Ancherythroculter nigrocauda	NA	NA	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Anguilla anguilla	4.0	20.0	temperate	catadromous freshwater marine brackish demersal	0	700	True	False	True
Anguilla australis	NA	NA	subtropical	benthopelagic freshwater marine brackish catadromous	0	NA	True	False	False
Anguilla bengalensis	NA	NA	tropical	benthopelagic freshwater marine brackish catadromous	NA	NA	False	False	False
Anguilla bicolor	NA	NA	tropical	catadromous freshwater marine brackish demersal	NA	NA	False	False	False
Anguilla celebesensis	NA	NA	tropical	catadromous freshwater marine brackish demersal	NA	NA	False	False	False
Anguilla dieffenbachii	NA	NA	subtropical	catadromous freshwater marine brackish demersal	NA	NA	False	False	False
Anguilla interioris	NA	NA	tropical	catadromous freshwater marine brackish demersal	NA	NA	False	False	False
Anguilla japonica	4.0	27.0	subtropical	catadromous freshwater marine brackish demersal	1	400	True	False	False
Anguilla luzonensis	NA	NA	tropical	catadromous freshwater marine brackish demersal	NA	NA	False	False	False
Anguilla malgumora	NA	NA	tropical	catadromous freshwater marine brackish demersal	NA	NA	False	False	False
Anguilla marmorata	NA	NA	tropical	catadromous freshwater marine brackish demersal	1	400	False	False	False
Anguilla megastoma	NA	NA	tropical	catadromous freshwater marine brackish demersal	NA	NA	False	False	False
Anguilla mossambica	NA	NA	tropical	catadromous freshwater marine brackish demersal	NA	NA	False	False	False
Anguilla nebulosa	NA	NA	tropical	catadromous freshwater marine brackish demersal	3	10	False	False	False
Anguilla obscura	NA	NA	tropical	catadromous freshwater marine brackish demersal	NA	NA	False	False	False
Anguilla reinhardtii	NA	NA	tropical	catadromous freshwater marine brackish demersal	0	1	False	False	False
Anguilla rostrata	4.0	25.0	subtropical	catadromous freshwater marine brackish demersal	0	464	True	False	True
Anodontostoma chacunda	NA	NA	tropical	anadromous freshwater marine brackish pelagic-neritic	0	50	False	False	False
Anomalops katoptron	NA	NA	tropical	reef-associated marine	2	400	False	False	False
Anoplocapros lenticularis	NA	NA	subtropical	marine demersal	10	220	False	False	False
Anoplogaster cornuta	NA	NA	NA	bathypelagic marine deep-water	2	4992	True	False	False
Anoplopoma fimbria	NA	NA	NA	bathydemersal oceanodromous marine deep-water	0	2740	False	False	False
Antennarius coccineus	NA	NA	tropical	reef-associated marine	0	104	False	False	False
Antennarius striatus	NA	NA	subtropical	reef-associated marine brackish	10	219	False	False	False
Antennatus coccineus	NA	NA	tropical	reef-associated marine	1	75	False	False	False
Antigonia capros	NA	NA	tropical	marine demersal	50	900	False	False	False
Anyperodon leucogrammicus	NA	NA	tropical	reef-associated marine non-migratory	1	80	False	False	False
Apareiodon affinis	22.0	26.0	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Apeltes quadracus	4.0	20.0	temperate	benthopelagic freshwater marine brackish	0	3	False	False	False
Aphredoderus sayanus	5.0	26.0	temperate	freshwater demersal	NA	NA	False	False	False
Aphyocypris chinensis	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
Aphyocypris kikuchii	NA	NA	subtropical	freshwater benthopelagic	0	5	False	False	False
Aplocheilus panchax	20.0	25.0	tropical	freshwater benthopelagic brackish non-migratory	NA	NA	False	False	False
Apogon semilineatus	NA	NA	tropical	reef-associated marine brackish	3	100	False	False	False
Apteronotus albifrons	23.0	28.0	tropical	freshwater benthopelagic	NA	NA	False	False	False
Aptocyclus ventricosus	NA	NA	temperate	benthopelagic marine	0	1700	False	False	False
Arapaima gigas	25.0	29.0	tropical	freshwater demersal	NA	NA	True	False	False
Arctogadus glacialis	NA	NA	NA	bathypelagic marine non-migratory deep-water	0	1000	False	False	False
Arctoscopus japonicus	NA	NA	NA	bathydemersal marine deep-water	0	550	False	False	False
Argyrosomus japonicus	NA	NA	tropical	benthopelagic oceanodromous marine brackish	NA	NA	False	False	False
Ariomma indica	NA	NA	tropical	benthopelagic oceanodromous marine	20	300	False	False	False
Ariomma lurida	NA	NA	NA	bathypelagic marine deep-water	350	NA	False	False	False
Ariosoma shiroanago	NA	NA	temperate	marine demersal	NA	NA	False	False	False
Arothron firmamentum	NA	NA	subtropical	marine demersal	10	360	False	False	False
Arothron hispidus	25.0	NA	tropical	reef-associated marine brackish non-migratory	3	50	False	False	False
Arothron manilensis	NA	NA	tropical	reef-associated marine brackish	2	20	False	False	False
Arothron mappa	NA	NA	tropical	reef-associated marine	4	30	False	False	False
Arripis trutta	NA	NA	subtropical	anadromous marine brackish pelagic-neritic	30	39	False	False	False
Aspasma minima	NA	NA	subtropical	marine demersal	NA	NA	False	False	False
Aspidoparia morar	22.0	NA	tropical	freshwater benthopelagic	NA	NA	False	False	False
Assurger anzac	NA	NA	tropical	benthopelagic marine	150	400	False	False	False
Astatotilapia calliptera	24.0	28.0	tropical	freshwater benthopelagic	NA	NA	False	False	False
