species	temperature_min	temperature_max	climate	environment
Mormyrops anguilloides	22.0	24.0	tropical	freshwater demersal potamodromous
Clupea harengus	1.0	18.0	temperate	benthopelagic oceanodromous marine brackish
Erpetoichthys calabaricus	22.0	28.0	tropical	freshwater brackish demersal
Trachyrincus murrayi			temperate	benthopelagic marine
Pseudobagrus ussuriensis	12.0	25.0	temperate	freshwater demersal non-migratory
Rhynchocypris kumgangensis			temperate	freshwater benthopelagic
Pareutropius debauwi			tropical	freshwater demersal
Amanses scopas			tropical	reef-associated marine
Thunnus obesus	13.0	29.0	subtropical	pelagic-oceanic oceanodromous marine
Aphyocypris kikuchii			subtropical	freshwater benthopelagic
Oreochromis aureus	8.0	30.0	tropical	freshwater benthopelagic brackish potamodromous
Chitala lopis			tropical	freshwater demersal
Lamprogrammus niger				bathypelagic marine deep-water
Salangichthys microdon			polar	anadromous freshwater marine brackish demersal
Arripis trutta			subtropical	anadromous marine brackish pelagic-neritic
Boulengerella maculata	23.0	27.0	tropical	pelagic freshwater
Polymixia japonica				bathypelagic marine deep-water
Mugil cephalus	8.0	24.0	subtropical	benthopelagic freshwater marine brackish catadromous
Lycengraulis grossidens			subtropical	anadromous freshwater marine brackish pelagic-neritic
Protoanguilla palau			tropical	reef-associated marine
Rasbora steineri	22.0	24.0	tropical	freshwater benthopelagic
Harpadon microchir			tropical	marine demersal
Pseudolaubuca engraulis			subtropical	freshwater benthopelagic
Eumegistus illustris				bathypelagic marine deep-water
Anguilla bicolor			tropical	catadromous freshwater marine brackish demersal
Silurus lanzhouensis			temperate	freshwater demersal
Sarcocheilichthys variegatus			temperate	freshwater benthopelagic
Pterapogon kauderni			tropical	marine demersal
Stolephorus waitei			tropical	oceanodromous freshwater marine brackish pelagic-neritic
Scomberomorus niphonius			temperate	oceanodromous marine pelagic-neritic
Lutjanus bengalensis			tropical	reef-associated marine
Coilia mystus			tropical	amphidromous freshwater marine brackish pelagic-neritic
Pampus punctatissimus			subtropical	benthopelagic marine
Rhynchocypris lagowskii	16.0	20.0	temperate	freshwater benthopelagic
Tetractenos glaber			subtropical	freshwater marine brackish demersal
Puntius tetrazona	20.0	26.0	tropical	freshwater benthopelagic
Cyphomyrus discorhynchus	22.0	24.0	tropical	freshwater demersal
Plectropomus areolatus			tropical	reef-associated marine
Kurtus gulliveri	20.0	28.0	tropical	freshwater benthopelagic brackish
Platycephalus indicus			subtropical	reef-associated oceanodromous marine brackish
Scomber japonicus	10.0	27.0	subtropical	oceanodromous marine pelagic-neritic
Epinephelus epistictus			tropical	marine demersal
Moringua microchir			tropical	reef-associated marine brackish
Trachidermus fasciatus			subtropical	benthopelagic freshwater marine brackish catadromous
Diodon holocanthus			subtropical	reef-associated marine
Lampris guttatus				bathypelagic marine deep-water oceanodromous
Leptoderma lubricum				bathypelagic marine deep-water
Benthosema fibulatum				bathypelagic marine deep-water oceanodromous
Hypomesus nipponensis			temperate	pelagic anadromous freshwater brackish
Scarus rubroviolaceus			tropical	reef-associated marine
Elassoma evergladei	10.0	30.0	temperate	freshwater demersal
Synechogobius ommaturus			subtropical	freshwater demersal
Auxis rochei		28.0	tropical	oceanodromous marine brackish pelagic-neritic
Moxostoma poecilurum			temperate	freshwater demersal
Psettodes erumei			tropical	marine demersal
Spratelloides delicatulus			tropical	reef-associated marine
Sebastiscus marmoratus			tropical	oceanodromous marine demersal
Tetrapturus angustirostris			subtropical	pelagic-oceanic oceanodromous marine
Mola mola	12.0	25.0	subtropical	pelagic-oceanic oceanodromous marine
Brienomyrus niger	22.0	24.0	tropical	freshwater benthopelagic
Stiphodon alcedo			subtropical	freshwater demersal
Trichiurus lepturus			subtropical	amphidromous benthopelagic marine brackish
Diaphus theta				bathypelagic marine deep-water
Pangasius larnaudii			tropical	freshwater benthopelagic potamodromous
Cromeria nilotica			tropical	freshwater benthopelagic
Acanthurus lineatus	24.0	30.0	tropical	reef-associated marine
Chaenomugil proboscideus			tropical	marine pelagic-neritic
Oncorhynchus keta		24.0	temperate	benthopelagic freshwater marine brackish anadromous
Gudusia chapra			subtropical	pelagic freshwater brackish potamodromous
Serrivomer beanii				bathypelagic marine deep-water
Liobagrus marginatoides			temperate	freshwater benthopelagic
Odonus niger			tropical	reef-associated oceanodromous marine
Menidia menidia	1.0	33.0	temperate	oceanodromous marine brackish pelagic-neritic
Lagocephalus sceleratus			tropical	reef-associated marine
Onychostoma simum			subtropical	freshwater benthopelagic
Monocentris japonicus			tropical	reef-associated marine
Crossorhombus azureus			tropical	marine demersal
Balistapus undulatus			tropical	reef-associated marine
Helogenes marmoratus	22.0	26.0	tropical	freshwater demersal
Trachinotus ovatus			subtropical	marine brackish pelagic-neritic
Bassozetus zenkevitchi				bathypelagic marine deep-water
Pseudorasbora parva	5.0	22.0	temperate	freshwater benthopelagic
Aeoliscus strigatus			tropical	reef-associated marine
Muraenesox bagio			tropical	oceanodromous marine brackish demersal
Sinibotia superciliaris	20.0	26.0	subtropical	freshwater demersal
Astyanax mexicanus			subtropical	freshwater benthopelagic potamodromous
Gnathopogon elongatus			temperate	freshwater benthopelagic
Sicamugil cascasia			tropical	freshwater demersal potamodromous
Sinocyclocheilus grahami			temperate	freshwater benthopelagic brackish
Avocettina infans				bathypelagic marine deep-water
Rhodeus pseudosericeus			temperate	pelagic freshwater
Nesiarchus nasutus				benthopelagic marine deep-water
Agonostomus monticola	20.0	31.0	subtropical	catadromous freshwater marine brackish pelagic-neritic
Pagrus major			subtropical	oceanodromous marine demersal
Oryzias sarasinorum	24.0	29.0	tropical	pelagic freshwater
Retropinna retropinna			subtropical	anadromous freshwater marine brackish demersal
Campylomormyrus numenius	22.0	25.0	tropical	freshwater demersal
Hypentelium nigricans			temperate	freshwater demersal potamodromous
Labracinus cyclophthalmus	22.0	26.0	tropical	reef-associated marine
Echeneis naucrates			subtropical	reef-associated marine brackish
Bostrychus sinensis			tropical	amphidromous freshwater marine brackish demersal
Beryx decadactylus				bathydemersal marine deep-water
Spratelloides gracilis			tropical	marine pelagic-neritic
Sicyopterus japonicus			subtropical	amphidromous freshwater marine brackish demersal
